machine_id,current_A,vibration_ms2,state
3,0.039,0.428,MACHINE OFF
4,0.126,1.813,MACHINE ON + WORKING
4,0.099,0.941,MACHINE ON (Idle)
2,0.097,0.958,MACHINE ON (Idle)
1,0.018,0.113,MACHINE OFF
5,0.108,1.471,MACHINE ON (Idle)
2,0.076,0.682,MACHINE ON (Idle)
4,0.046,0.105,MACHINE OFF
4,0.032,0.17,MACHINE OFF
5,0.151,0.01,MACHINE ON + WORKING
4,0.021,0.17,MACHINE OFF
5,0.046,1.314,MACHINE OFF
2,0.035,0.064,MACHINE OFF
4,0.041,0.049,MACHINE OFF
3,0.041,0.232,MACHINE OFF
5,0.146,1.003,MACHINE ON + WORKING
1,0.037,0.235,MACHINE OFF
5,0.044,0.48,MACHINE OFF
5,0.125,1.133,MACHINE ON + WORKING
3,0.108,1.328,MACHINE ON (Idle)
4,0.117,1.026,MACHINE ON (Idle)
3,0.025,0.286,MACHINE OFF
2,0.044,0.242,MACHINE OFF
4,0.106,4.082,MACHINE ON + WORKING
1,0.037,0.248,MACHINE OFF
3,0.107,1.235,MACHINE ON (Idle)
3,0.119,4.913,MACHINE ON + WORKING
4,0.104,0.752,MACHINE ON (Idle)
5,0.032,0.499,MACHINE OFF
2,0.122,5.455,MACHINE ON + WORKING
2,0.124,2.533,MACHINE ON + WORKING
1,0.161,3.203,MACHINE ON + WORKING
1,0.024,0.188,MACHINE OFF
5,0.049,0.638,MACHINE OFF
5,0.128,0.01,MACHINE ON + WORKING
3,0.074,0.722,MACHINE ON (Idle)
4,0.106,0.729,MACHINE ON (Idle)
3,0.038,0.347,MACHINE OFF
5,0.071,0.519,MACHINE OFF
3,0.074,0.89,MACHINE ON (Idle)
4,0.038,0.01,MACHINE OFF
3,0.099,4.483,MACHINE ON + WORKING
5,0.038,0.577,MACHINE OFF
5,0.142,1.261,MACHINE ON (Idle)
5,0.075,1.338,MACHINE ON (Idle)
5,0.05,0.459,MACHINE OFF
3,0.103,0.827,MACHINE ON (Idle)
3,0.071,1.494,MACHINE ON (Idle)
2,0.038,0.209,MACHINE OFF
1,0.074,1.248,MACHINE ON (Idle)
4,0.121,0.6,MACHINE ON (Idle)
3,0.144,4.569,MACHINE ON + WORKING
5,0.041,0.446,MACHINE OFF
5,0.185,5.229,MACHINE ON + WORKING
4,0.051,0.01,MACHINE OFF
1,0.03,0.186,MACHINE OFF
5,0.136,0.816,MACHINE ON (Idle)
3,0.038,0.263,MACHINE OFF
3,0.112,1.713,MACHINE ON + WORKING
2,0.127,1.037,MACHINE ON (Idle)
4,0.122,2.552,MACHINE ON + WORKING
5,0.038,0.587,MACHINE OFF
2,0.028,0.682,MACHINE OFF
2,0.121,4.943,MACHINE ON + WORKING
2,0.043,0.214,MACHINE OFF
2,0.094,1.23,MACHINE ON (Idle)
2,0.048,0.062,MACHINE OFF
4,0.043,0.01,MACHINE OFF
1,0.175,2.983,MACHINE ON + WORKING
2,0.106,1.51,MACHINE ON (Idle)
1,0.128,1.109,MACHINE ON (Idle)
3,0.078,0.873,MACHINE ON (Idle)
1,0.137,0.01,MACHINE ON + WORKING
4,0.037,0.174,MACHINE OFF
1,0.137,2.581,MACHINE ON + WORKING
1,0.09,0.822,MACHINE ON (Idle)
4,0.091,1.15,MACHINE ON (Idle)
3,0.153,0.979,MACHINE ON + WORKING
5,0.045,0.58,MACHINE OFF
3,0.102,1.152,MACHINE ON (Idle)
2,0.09,0.751,MACHINE ON (Idle)
4,0.016,0.01,MACHINE OFF
3,0.172,0.01,MACHINE ON + WORKING
2,0.041,1.357,MACHINE ON (Idle)
4,0.036,0.01,MACHINE OFF
1,0.128,3.934,MACHINE ON + WORKING
5,0.1,1.325,MACHINE ON (Idle)
1,0.051,0.04,MACHINE OFF
5,0.098,1.496,MACHINE ON (Idle)
2,0.035,0.168,MACHINE OFF
3,0.098,2.117,MACHINE ON + WORKING
2,0.131,0.875,MACHINE ON (Idle)
2,0.045,0.074,MACHINE OFF
4,0.162,4.536,MACHINE ON + WORKING
4,0.122,0.512,MACHINE ON (Idle)
3,0.109,6.342,MACHINE ON + WORKING
5,0.089,1.022,MACHINE ON (Idle)
1,0.028,0.01,MACHINE OFF
3,0.028,0.193,MACHINE OFF
5,0.032,0.565,MACHINE OFF
1,0.038,0.163,MACHINE OFF
5,0.093,1.198,MACHINE ON (Idle)
5,0.038,0.599,MACHINE OFF
4,0.121,4.305,MACHINE ON + WORKING
3,0.09,1.0,MACHINE ON (Idle)
1,0.182,1.169,MACHINE ON + WORKING
1,0.121,4.738,MACHINE ON + WORKING
1,0.207,5.569,MACHINE ON + WORKING
1,0.096,1.093,MACHINE ON (Idle)
4,0.059,1.235,MACHINE ON (Idle)
5,0.107,1.063,MACHINE ON (Idle)
5,0.101,1.397,MACHINE ON (Idle)
2,0.101,0.874,MACHINE ON (Idle)
1,0.079,0.827,MACHINE ON (Idle)
3,0.108,0.883,MACHINE ON (Idle)
4,0.14,3.98,MACHINE ON + WORKING
1,0.084,0.904,MACHINE ON (Idle)
1,0.078,0.842,MACHINE ON (Idle)
1,0.107,0.739,MACHINE ON (Idle)
1,0.03,0.149,MACHINE OFF
4,0.124,0.64,MACHINE ON (Idle)
2,0.027,0.267,MACHINE OFF
5,0.151,5.596,MACHINE ON + WORKING
1,0.025,0.095,MACHINE OFF
4,0.128,3.681,MACHINE ON + WORKING
1,0.108,0.824,MACHINE ON (Idle)
4,0.122,0.698,MACHINE ON (Idle)
5,0.081,0.471,MACHINE ON (Idle)
3,0.123,5.734,MACHINE ON + WORKING
3,0.054,0.289,MACHINE OFF
4,0.038,0.215,MACHINE OFF
2,0.035,0.16,MACHINE OFF
5,0.116,2.509,MACHINE ON + WORKING
4,0.11,0.341,MACHINE ON (Idle)
1,0.08,0.37,MACHINE ON (Idle)
5,0.101,1.347,MACHINE ON + WORKING
1,0.087,4.525,MACHINE ON + WORKING
3,0.025,0.866,MACHINE OFF
3,0.085,1.165,MACHINE ON (Idle)
5,0.036,0.434,MACHINE OFF
1,0.147,5.841,MACHINE ON + WORKING
3,0.025,0.317,MACHINE OFF
2,0.026,0.194,MACHINE OFF
5,0.15,0.134,MACHINE ON + WORKING
1,0.145,4.938,MACHINE ON + WORKING
2,0.028,0.205,MACHINE OFF
5,0.054,0.423,MACHINE OFF
3,0.078,1.194,MACHINE ON (Idle)
4,0.052,0.05,MACHINE OFF
3,0.107,5.733,MACHINE ON + WORKING
4,0.111,0.591,MACHINE ON (Idle)
2,0.129,2.156,MACHINE ON + WORKING
1,0.105,1.334,MACHINE ON (Idle)
1,0.128,7.714,MACHINE ON + WORKING
5,0.061,0.557,MACHINE OFF
2,0.045,0.172,MACHINE OFF
4,0.041,0.01,MACHINE OFF
5,0.031,0.213,MACHINE OFF
3,0.124,3.694,MACHINE ON + WORKING
3,0.028,0.324,MACHINE OFF
1,0.12,0.546,MACHINE ON (Idle)
4,0.041,0.157,MACHINE OFF
2,0.024,0.132,MACHINE OFF
2,0.045,0.245,MACHINE OFF
2,0.082,0.712,MACHINE ON (Idle)
5,0.046,0.428,MACHINE OFF
4,0.043,0.01,MACHINE OFF
1,0.183,1.101,MACHINE ON + WORKING
3,0.108,0.961,MACHINE ON + WORKING
5,0.103,1.025,MACHINE ON (Idle)
2,0.023,0.088,MACHINE OFF
4,0.127,3.906,MACHINE ON + WORKING
2,0.077,0.818,MACHINE ON (Idle)
1,0.108,4.772,MACHINE ON + WORKING
5,0.04,0.603,MACHINE OFF
3,0.077,1.292,MACHINE ON + WORKING
1,0.103,1.04,MACHINE ON (Idle)
3,0.126,1.087,MACHINE ON (Idle)
2,0.104,4.009,MACHINE ON + WORKING
5,0.13,4.027,MACHINE ON + WORKING
2,0.088,0.678,MACHINE ON (Idle)
4,0.048,0.01,MACHINE OFF
1,0.114,0.791,MACHINE ON (Idle)
2,0.036,0.219,MACHINE OFF
1,0.135,5.66,MACHINE ON + WORKING
1,0.126,2.012,MACHINE ON + WORKING
3,0.105,0.865,MACHINE ON (Idle)
4,0.135,0.999,MACHINE ON (Idle)
1,0.042,0.08,MACHINE OFF
5,0.044,0.595,MACHINE OFF
5,0.115,4.89,MACHINE ON + WORKING
1,0.091,1.395,MACHINE ON (Idle)
3,0.087,0.793,MACHINE ON (Idle)
2,0.162,1.065,MACHINE ON + WORKING
3,0.039,0.226,MACHINE OFF
5,0.177,6.43,MACHINE ON + WORKING
3,0.036,0.564,MACHINE ON (Idle)
1,0.076,1.123,MACHINE ON (Idle)
2,0.1,1.349,MACHINE ON (Idle)
2,0.039,0.229,MACHINE OFF
5,0.139,7.266,MACHINE ON + WORKING
4,0.047,0.089,MACHINE OFF
3,0.141,0.873,MACHINE ON (Idle)
5,0.04,0.459,MACHINE OFF
5,0.114,1.239,MACHINE ON (Idle)
2,0.134,1.078,MACHINE ON (Idle)
5,0.035,0.453,MACHINE OFF
2,0.026,0.273,MACHINE OFF
2,0.073,0.832,MACHINE ON (Idle)
1,0.044,0.28,MACHINE OFF
2,0.043,0.144,MACHINE OFF
4,0.1,0.307,MACHINE ON (Idle)
3,0.194,1.288,MACHINE ON + WORKING
2,0.094,0.548,MACHINE ON (Idle)
5,0.066,1.4,MACHINE ON (Idle)
5,0.052,0.471,MACHINE OFF
1,0.105,0.778,MACHINE ON (Idle)
4,0.162,1.143,MACHINE ON + WORKING
4,0.058,0.044,MACHINE OFF
4,0.068,1.127,MACHINE ON (Idle)
2,0.04,0.116,MACHINE OFF
1,0.098,1.002,MACHINE ON (Idle)
2,0.17,3.251,MACHINE ON + WORKING
2,0.023,0.312,MACHINE OFF
4,0.096,0.721,MACHINE ON (Idle)
3,0.142,0.967,MACHINE ON + WORKING
4,0.078,0.817,MACHINE ON (Idle)
4,0.036,0.01,MACHINE OFF
5,0.106,3.613,MACHINE ON + WORKING
1,0.183,1.814,MACHINE ON + WORKING
1,0.034,0.01,MACHINE OFF
5,0.136,2.005,MACHINE ON + WORKING
5,0.121,1.214,MACHINE ON (Idle)
1,0.138,6.287,MACHINE ON + WORKING
3,0.095,0.801,MACHINE ON (Idle)
2,0.038,0.027,MACHINE OFF
1,0.036,0.216,MACHINE OFF
4,0.21,1.679,MACHINE ON + WORKING
5,0.102,1.096,MACHINE ON (Idle)
5,0.036,0.331,MACHINE OFF
4,0.053,0.554,MACHINE OFF
2,0.113,4.893,MACHINE ON + WORKING
3,0.027,0.243,MACHINE OFF
2,0.14,4.692,MACHINE ON + WORKING
1,0.171,3.697,MACHINE ON + WORKING
1,0.137,3.265,MACHINE ON + WORKING
5,0.048,0.363,MACHINE OFF
5,0.105,1.685,MACHINE ON (Idle)
3,0.029,0.316,MACHINE OFF
2,0.096,0.75,MACHINE ON + WORKING
1,0.088,4.834,MACHINE ON + WORKING
4,0.093,0.564,MACHINE ON (Idle)
2,0.057,0.132,MACHINE OFF
3,0.03,0.569,MACHINE OFF
4,0.144,7.909,MACHINE ON + WORKING
4,0.108,0.87,MACHINE ON (Idle)
4,0.112,0.671,MACHINE ON (Idle)
5,0.122,2.232,MACHINE ON + WORKING
5,0.13,5.666,MACHINE ON + WORKING
2,0.165,1.105,MACHINE ON + WORKING
3,0.089,1.249,MACHINE ON (Idle)
5,0.05,0.466,MACHINE OFF
1,0.02,0.42,MACHINE OFF
2,0.156,0.96,MACHINE ON (Idle)
5,0.062,0.976,MACHINE ON (Idle)
4,0.05,0.01,MACHINE OFF
1,0.025,0.01,MACHINE OFF
3,0.098,1.141,MACHINE ON (Idle)
4,0.136,1.011,MACHINE ON (Idle)
4,0.023,0.116,MACHINE OFF
3,0.034,0.424,MACHINE OFF
2,0.079,3.789,MACHINE ON + WORKING
1,0.083,0.68,MACHINE ON (Idle)
5,0.042,0.447,MACHINE OFF
5,0.054,0.573,MACHINE OFF
3,0.123,2.228,MACHINE ON + WORKING
3,0.029,0.335,MACHINE OFF
3,0.108,0.644,MACHINE ON (Idle)
4,0.177,1.098,MACHINE ON + WORKING
4,0.039,0.142,MACHINE OFF
2,0.037,0.236,MACHINE OFF
1,0.038,0.036,MACHINE OFF
1,0.108,1.213,MACHINE ON (Idle)
5,0.042,0.429,MACHINE OFF
3,0.042,0.926,MACHINE ON (Idle)
2,0.15,1.497,MACHINE ON + WORKING
3,0.072,0.764,MACHINE ON (Idle)
3,0.065,1.285,MACHINE ON (Idle)
1,0.111,1.366,MACHINE ON + WORKING
4,0.131,5.094,MACHINE ON + WORKING
1,0.034,0.208,MACHINE OFF
3,0.127,5.039,MACHINE ON + WORKING
4,0.042,0.03,MACHINE OFF
4,0.046,0.023,MACHINE OFF
5,0.03,0.388,MACHINE OFF
4,0.036,0.01,MACHINE OFF
5,0.058,0.516,MACHINE OFF
3,0.142,8.238,MACHINE ON + WORKING
5,0.035,0.579,MACHINE OFF
3,0.028,0.356,MACHINE OFF
1,0.042,0.249,MACHINE OFF
5,0.155,1.283,MACHINE ON (Idle)
4,0.036,0.01,MACHINE OFF
3,0.068,1.169,MACHINE ON (Idle)
1,0.103,6.438,MACHINE ON + WORKING
2,0.106,1.147,MACHINE ON (Idle)
3,0.028,0.477,MACHINE OFF
1,0.104,0.513,MACHINE ON (Idle)
2,0.082,7.307,MACHINE ON + WORKING
1,0.152,2.783,MACHINE ON + WORKING
2,0.129,3.848,MACHINE ON + WORKING
5,0.108,1.142,MACHINE ON (Idle)
1,0.027,0.217,MACHINE OFF
2,0.031,0.173,MACHINE OFF
4,0.125,0.713,MACHINE ON (Idle)
1,0.029,0.01,MACHINE OFF
5,0.136,1.581,MACHINE ON + WORKING
1,0.086,1.278,MACHINE ON (Idle)
3,0.139,1.294,MACHINE ON + WORKING
2,0.09,1.885,MACHINE ON + WORKING
3,0.082,0.964,MACHINE ON (Idle)
1,0.044,0.102,MACHINE OFF
1,0.08,0.851,MACHINE ON (Idle)
5,0.039,0.547,MACHINE OFF
5,0.045,0.561,MACHINE OFF
3,0.018,0.264,MACHINE OFF
3,0.141,3.35,MACHINE ON + WORKING
4,0.057,0.01,MACHINE OFF
1,0.039,0.158,MACHINE OFF
4,0.152,3.86,MACHINE ON + WORKING
5,0.092,1.367,MACHINE ON (Idle)
4,0.093,0.339,MACHINE ON (Idle)
2,0.037,0.211,MACHINE OFF
5,0.036,0.474,MACHINE OFF
4,0.037,0.01,MACHINE OFF
4,0.113,1.154,MACHINE ON (Idle)
4,0.048,0.01,MACHINE OFF
2,0.028,0.193,MACHINE OFF
3,0.031,0.505,MACHINE OFF
3,0.105,0.897,MACHINE ON (Idle)
4,0.044,0.01,MACHINE OFF
1,0.112,0.825,MACHINE ON (Idle)
2,0.126,1.22,MACHINE ON + WORKING
5,0.076,0.941,MACHINE ON (Idle)
1,0.035,0.135,MACHINE OFF
3,0.041,0.172,MACHINE OFF
4,0.041,0.143,MACHINE OFF
2,0.037,0.119,MACHINE OFF
3,0.022,0.28,MACHINE OFF
4,0.1,0.9,MACHINE ON (Idle)
3,0.02,0.435,MACHINE OFF
1,0.095,2.633,MACHINE ON + WORKING
4,0.033,0.158,MACHINE OFF
3,0.114,1.308,MACHINE ON + WORKING
2,0.087,0.641,MACHINE ON (Idle)
5,0.017,0.548,MACHINE OFF
4,0.135,4.462,MACHINE ON + WORKING
1,0.066,0.877,MACHINE ON (Idle)
5,0.031,0.549,MACHINE OFF
1,0.04,0.059,MACHINE OFF
4,0.062,2.099,MACHINE ON + WORKING
5,0.125,2.284,MACHINE ON + WORKING
3,0.029,0.207,MACHINE OFF
3,0.093,6.936,MACHINE ON + WORKING
3,0.193,5.68,MACHINE ON + WORKING
5,0.056,0.359,MACHINE OFF
2,0.07,1.025,MACHINE ON (Idle)
5,0.063,0.896,MACHINE ON (Idle)
5,0.122,1.042,MACHINE ON (Idle)
3,0.123,3.65,MACHINE ON + WORKING
5,0.092,1.255,MACHINE ON (Idle)
4,0.038,0.234,MACHINE OFF
2,0.11,0.431,MACHINE ON (Idle)
2,0.1,0.908,MACHINE ON (Idle)
3,0.104,0.994,MACHINE ON (Idle)
2,0.084,0.972,MACHINE ON (Idle)
1,0.067,1.04,MACHINE ON (Idle)
4,0.049,0.01,MACHINE OFF
2,0.112,1.017,MACHINE ON (Idle)
4,0.162,3.274,MACHINE ON + WORKING
4,0.125,4.834,MACHINE ON + WORKING
4,0.076,0.747,MACHINE ON (Idle)
3,0.03,0.306,MACHINE OFF
1,0.189,4.918,MACHINE ON + WORKING
2,0.174,0.242,MACHINE ON + WORKING
5,0.046,0.428,MACHINE OFF
1,0.098,0.194,MACHINE ON + WORKING
1,0.082,0.648,MACHINE ON (Idle)
1,0.109,1.274,MACHINE ON + WORKING
3,0.032,0.298,MACHINE OFF
5,0.124,1.442,MACHINE ON + WORKING
1,0.149,5.802,MACHINE ON + WORKING
5,0.082,0.892,MACHINE ON (Idle)
3,0.064,0.487,MACHINE OFF
4,0.129,0.01,MACHINE ON + WORKING
3,0.116,1.163,MACHINE ON (Idle)
3,0.074,0.87,MACHINE ON (Idle)
5,0.102,0.851,MACHINE ON (Idle)
5,0.166,3.648,MACHINE ON + WORKING
5,0.082,0.944,MACHINE ON (Idle)
3,0.032,0.389,MACHINE OFF
3,0.084,1.094,MACHINE ON (Idle)
1,0.095,0.703,MACHINE ON (Idle)
2,0.033,0.088,MACHINE OFF
3,0.08,1.288,MACHINE ON (Idle)
2,0.052,0.302,MACHINE OFF
4,0.083,1.038,MACHINE ON (Idle)
2,0.119,0.01,MACHINE ON + WORKING
1,0.065,1.029,MACHINE ON (Idle)
2,0.031,0.238,MACHINE OFF
4,0.123,0.84,MACHINE ON (Idle)
4,0.042,0.042,MACHINE OFF
2,0.025,0.269,MACHINE OFF
3,0.03,0.417,MACHINE OFF
1,0.13,1.065,MACHINE ON + WORKING
4,0.098,4.469,MACHINE ON + WORKING
5,0.196,3.739,MACHINE ON + WORKING
4,0.109,2.128,MACHINE ON + WORKING
4,0.019,0.743,MACHINE OFF
4,0.03,0.269,MACHINE OFF
5,0.038,0.642,MACHINE OFF
5,0.14,6.527,MACHINE ON + WORKING
4,0.048,0.01,MACHINE OFF
3,0.159,5.307,MACHINE ON + WORKING
1,0.041,0.328,MACHINE OFF
4,0.11,2.511,MACHINE ON + WORKING
5,0.159,0.01,MACHINE ON + WORKING
2,0.066,0.36,MACHINE OFF
1,0.106,0.948,MACHINE ON (Idle)
1,0.165,0.01,MACHINE ON + WORKING
3,0.03,0.421,MACHINE OFF
2,0.097,1.033,MACHINE ON (Idle)
1,0.142,1.79,MACHINE ON + WORKING
2,0.111,0.793,MACHINE ON (Idle)
1,0.092,1.195,MACHINE ON + WORKING
4,0.088,5.818,MACHINE ON + WORKING
5,0.127,1.625,MACHINE ON (Idle)
1,0.069,0.824,MACHINE ON (Idle)
4,0.107,3.395,MACHINE ON + WORKING
4,0.111,2.466,MACHINE ON + WORKING
4,0.088,0.608,MACHINE ON (Idle)
3,0.118,0.911,MACHINE ON (Idle)
3,0.082,0.853,MACHINE ON (Idle)
3,0.1,0.79,MACHINE ON (Idle)
3,0.099,0.814,MACHINE ON (Idle)
2,0.122,2.527,MACHINE ON + WORKING
4,0.038,0.131,MACHINE OFF
4,0.034,0.063,MACHINE OFF
4,0.093,0.311,MACHINE ON (Idle)
1,0.102,1.216,MACHINE ON (Idle)
4,0.086,1.026,MACHINE ON + WORKING
1,0.125,3.989,MACHINE ON + WORKING
3,0.12,1.327,MACHINE ON + WORKING
4,0.157,0.01,MACHINE ON + WORKING
4,0.026,0.033,MACHINE OFF
1,0.05,0.01,MACHINE OFF
4,0.103,1.019,MACHINE ON (Idle)
3,0.04,0.301,MACHINE OFF
1,0.036,0.087,MACHINE OFF
1,0.082,0.842,MACHINE ON (Idle)
3,0.022,0.372,MACHINE OFF
3,0.058,1.101,MACHINE ON (Idle)
1,0.15,4.71,MACHINE ON + WORKING
3,0.032,0.222,MACHINE OFF
3,0.015,0.299,MACHINE OFF
4,0.096,0.541,MACHINE ON (Idle)
2,0.045,0.351,MACHINE OFF
2,0.081,6.883,MACHINE ON + WORKING
5,0.036,0.667,MACHINE OFF
4,0.146,3.35,MACHINE ON + WORKING
3,0.154,1.312,MACHINE ON + WORKING
1,0.024,0.01,MACHINE OFF
5,0.044,0.516,MACHINE OFF
5,0.206,1.229,MACHINE ON + WORKING
1,0.06,1.055,MACHINE ON (Idle)
1,0.101,0.851,MACHINE ON (Idle)
1,0.034,0.061,MACHINE OFF
1,0.105,0.429,MACHINE ON (Idle)
3,0.142,2.924,MACHINE ON + WORKING
5,0.2,1.386,MACHINE ON + WORKING
1,0.119,1.562,MACHINE ON (Idle)
5,0.136,5.756,MACHINE ON + WORKING
4,0.051,0.01,MACHINE OFF
4,0.041,0.01,MACHINE OFF
5,0.117,1.139,MACHINE ON (Idle)
2,0.03,0.203,MACHINE OFF
3,0.098,1.221,MACHINE ON (Idle)
4,0.037,0.256,MACHINE OFF
2,0.029,0.216,MACHINE OFF
1,0.045,0.151,MACHINE OFF
5,0.047,0.488,MACHINE OFF
4,0.092,0.346,MACHINE ON (Idle)
1,0.099,3.917,MACHINE ON + WORKING
3,0.069,0.664,MACHINE ON (Idle)
4,0.129,9.005,MACHINE ON + WORKING
3,0.024,0.231,MACHINE OFF
2,0.111,0.426,MACHINE ON (Idle)
2,0.062,0.834,MACHINE ON (Idle)
1,0.082,0.547,MACHINE ON (Idle)
3,0.112,0.895,MACHINE ON (Idle)
2,0.032,0.184,MACHINE OFF
1,0.036,0.055,MACHINE OFF
5,0.095,0.871,MACHINE ON (Idle)
2,0.175,0.044,MACHINE ON + WORKING
2,0.106,0.921,MACHINE ON (Idle)
4,0.08,0.918,MACHINE ON (Idle)
1,0.09,0.954,MACHINE ON + WORKING
2,0.019,0.165,MACHINE OFF
4,0.098,1.22,MACHINE ON + WORKING
5,0.095,0.824,MACHINE ON (Idle)
4,0.172,0.01,MACHINE ON + WORKING
2,0.104,0.867,MACHINE ON (Idle)
3,0.04,0.302,MACHINE OFF
3,0.071,1.388,MACHINE ON (Idle)
2,0.08,1.224,MACHINE ON (Idle)
2,0.041,0.035,MACHINE OFF
4,0.079,0.731,MACHINE ON (Idle)
4,0.107,1.016,MACHINE ON + WORKING
4,0.12,0.415,MACHINE ON (Idle)
4,0.175,3.957,MACHINE ON + WORKING
3,0.038,0.252,MACHINE OFF
5,0.043,0.239,MACHINE OFF
4,0.083,1.061,MACHINE ON (Idle)
3,0.118,1.511,MACHINE ON (Idle)
2,0.091,0.855,MACHINE ON (Idle)
5,0.042,0.316,MACHINE OFF
5,0.172,4.903,MACHINE ON + WORKING
5,0.07,0.841,MACHINE ON (Idle)
5,0.043,0.405,MACHINE OFF
1,0.114,4.819,MACHINE ON + WORKING
2,0.146,3.515,MACHINE ON + WORKING
2,0.089,1.352,MACHINE ON (Idle)
2,0.071,0.852,MACHINE ON (Idle)
4,0.127,0.587,MACHINE ON (Idle)
4,0.107,0.64,MACHINE ON (Idle)
4,0.098,0.687,MACHINE ON (Idle)
1,0.104,0.68,MACHINE ON (Idle)
5,0.044,0.35,MACHINE OFF
4,0.147,4.123,MACHINE ON + WORKING
3,0.095,0.792,MACHINE ON (Idle)
1,0.127,0.695,MACHINE ON (Idle)
4,0.11,0.936,MACHINE ON (Idle)
1,0.105,4.238,MACHINE ON + WORKING
2,0.092,1.041,MACHINE ON (Idle)
3,0.102,0.763,MACHINE ON (Idle)
1,0.029,0.017,MACHINE OFF
3,0.03,0.404,MACHINE OFF
3,0.017,0.265,MACHINE OFF
5,0.141,4.443,MACHINE ON + WORKING
1,0.1,3.653,MACHINE ON + WORKING
1,0.139,0.863,MACHINE ON (Idle)
3,0.16,3.131,MACHINE ON + WORKING
3,0.208,5.827,MACHINE ON + WORKING
3,0.123,1.464,MACHINE ON + WORKING
1,0.022,0.116,MACHINE OFF
2,0.034,0.037,MACHINE OFF
1,0.031,0.135,MACHINE OFF
5,0.058,0.556,MACHINE OFF
2,0.023,0.259,MACHINE OFF
5,0.165,5.458,MACHINE ON + WORKING
1,0.119,0.742,MACHINE ON (Idle)
5,0.105,1.17,MACHINE ON (Idle)
5,0.134,1.36,MACHINE ON (Idle)
3,0.066,0.94,MACHINE ON (Idle)
1,0.161,5.192,MACHINE ON + WORKING
1,0.098,1.689,MACHINE ON (Idle)
3,0.151,3.499,MACHINE ON + WORKING
2,0.112,0.7,MACHINE ON (Idle)
4,0.139,1.219,MACHINE ON + WORKING
1,0.031,0.173,MACHINE OFF
5,0.107,1.27,MACHINE ON (Idle)
4,0.079,1.057,MACHINE ON (Idle)
3,0.032,0.454,MACHINE OFF
2,0.049,0.232,MACHINE OFF
3,0.067,0.875,MACHINE ON (Idle)
3,0.098,1.011,MACHINE ON (Idle)
5,0.111,1.224,MACHINE ON (Idle)
3,0.031,0.233,MACHINE OFF
3,0.182,1.391,MACHINE ON + WORKING
4,0.041,0.011,MACHINE OFF
1,0.1,1.108,MACHINE ON (Idle)
2,0.083,0.642,MACHINE ON (Idle)
5,0.154,5.632,MACHINE ON + WORKING
2,0.027,0.124,MACHINE OFF
3,0.101,1.201,MACHINE ON (Idle)
3,0.025,0.366,MACHINE OFF
1,0.024,0.273,MACHINE OFF
2,0.082,0.583,MACHINE ON (Idle)
2,0.115,0.966,MACHINE ON (Idle)
1,0.084,0.599,MACHINE ON (Idle)
2,0.044,0.309,MACHINE OFF
2,0.121,1.362,MACHINE ON + WORKING
5,0.042,0.538,MACHINE OFF
4,0.05,0.291,MACHINE OFF
5,0.057,0.382,MACHINE OFF
4,0.125,1.919,MACHINE ON + WORKING
4,0.045,0.115,MACHINE OFF
5,0.05,0.432,MACHINE OFF
5,0.026,0.559,MACHINE OFF
1,0.127,0.685,MACHINE ON (Idle)
2,0.112,0.477,MACHINE ON (Idle)
3,0.029,0.188,MACHINE OFF
4,0.057,0.01,MACHINE OFF
5,0.122,1.103,MACHINE ON (Idle)
5,0.088,1.148,MACHINE ON (Idle)
3,0.101,1.277,MACHINE ON (Idle)
4,0.109,3.117,MACHINE ON + WORKING
3,0.041,0.212,MACHINE OFF
4,0.139,0.01,MACHINE ON + WORKING
4,0.071,0.665,MACHINE ON (Idle)
4,0.027,0.172,MACHINE OFF
4,0.123,0.956,MACHINE ON + WORKING
5,0.105,1.384,MACHINE ON (Idle)
3,0.07,1.368,MACHINE ON (Idle)
3,0.136,0.932,MACHINE ON (Idle)
4,0.035,0.126,MACHINE OFF
3,0.075,0.659,MACHINE ON (Idle)
5,0.053,0.472,MACHINE OFF
2,0.122,0.893,MACHINE ON (Idle)
4,0.089,1.039,MACHINE ON + WORKING
5,0.05,0.553,MACHINE OFF
4,0.034,0.024,MACHINE OFF
2,0.124,0.851,MACHINE ON (Idle)
4,0.119,1.074,MACHINE ON (Idle)
3,0.023,0.497,MACHINE OFF
2,0.106,1.23,MACHINE ON + WORKING
4,0.155,8.974,MACHINE ON + WORKING
3,0.032,0.214,MACHINE OFF
3,0.085,0.535,MACHINE ON (Idle)
1,0.11,0.879,MACHINE ON (Idle)
1,0.026,0.087,MACHINE OFF
1,0.1,1.021,MACHINE ON (Idle)
2,0.143,4.171,MACHINE ON + WORKING
3,0.194,4.116,MACHINE ON + WORKING
3,0.122,1.232,MACHINE ON + WORKING
1,0.073,0.803,MACHINE ON (Idle)
2,0.124,0.862,MACHINE ON + WORKING
2,0.14,4.901,MACHINE ON + WORKING
3,0.16,2.212,MACHINE ON + WORKING
3,0.081,1.245,MACHINE ON (Idle)
2,0.094,1.084,MACHINE ON + WORKING
3,0.097,4.757,MACHINE ON + WORKING
2,0.031,0.165,MACHINE OFF
2,0.035,0.056,MACHINE OFF
5,0.152,2.449,MACHINE ON + WORKING
5,0.064,1.385,MACHINE ON (Idle)
1,0.161,1.04,MACHINE ON + WORKING
1,0.033,0.241,MACHINE OFF
4,0.114,0.531,MACHINE ON (Idle)
